CAAXM,AspenSkiCo,Aspen,39.16611,-106.815,10151,Aspen SA - Gents Base CO US,2
CAAXT,AspenSkiCo,Aspen,39.15167,-106.8186,11185,Aspen SA - Gents Top CO US,2
CAAXB,AspenSkiCo,Aspen,39.1635,-106.8195,10600,Aspen SA - Bell,2
CAAXW,AspenSkiCo,Aspen,39.1528,-106.8208,11212,Aspen SA - Top Wind,2
CACNM,RMBL,Gunnison,38.9947,-107.0708,12301,Cinnamon Mtn,2
CABP8,VailResort,Vail/Summit,39.47269,-106.10255,12998,Breck SA - Peak 8 CO US,2
CABP6,VailResort,Vail/Summit,39.49362,-106.11137,12573,Breck SA - Peak 6 CO US,2
CAHSB,VailResort,Vail/Summit,39.47532,-106.09150,11900,Breck SA - Horseshoe Bowl CO US,2
CAVBS,VailResort,Vail/Summit,39.57106,-106.33239,11109,Vail SA - Blue Sky CO US,2
CAVCB,VailResort,Vail/Summit,39.59772,-106.33835,11031,Vail SA - China Bowl CO US,2
CAVPQ,VailResort,Vail/Summit,39.60548,-106.35657,11248,Vail SA - PHQ CO US,2
CAVMM,VailResort,Vail/Summit,39.61761,-106.38006,10303,Vail SA - Mid-Mtn CO US,2
CAMNP,MonarchSA,Sawatch,38.52154,-106.3427,11951,Monarch Mountain CO US,0
CABTP,CAIC,FrontRange,39.80194,-105.7839,11861,Berthoud Pass CO US,0
CACWP,CAIC,Sawatch,38.81194,-106.4064,11802,Cottonwood Pass CO US,0
CAEGE,CAIC,NSanJuan,37.88333,-107.7425,12852,Eagle,0
CAGMS,JPL,GrandMesa,39.05930,-108.0608,10628,Grand Mesa-Skyway Pt CO US,0
CAKDL,CAIC,NSanJuan,37.79389,-107.6419,13065,Kendall Mt,0
CALT9,LovelandSA,FrontRange,39.67352,-105.9260,12700,Loveland SA - Top #9,0
CALVP,CAIC,FrontRange,39.67472,-105.8939,11890,Loveland Pass CO US,0
CACMP,CAIC,FrontRange,40.49371,-105.9083,10574,Cameron Pass CO US,0
CAFLC,RMRS,FrontRange,39.88098,-105.8679,10200,Fool Creek CO US,0
CABPK,RMRS,FrontRange,39.89502,-105.9403,11200,Bottle Peak CO US,0
CAINP,AGCI,Aspen,39.10694,-106.5736,12080,Independence Pass,0
CACCK,AGCI,Aspen,39.00804,-106.79196,11400,Castle Creek,0
CAMLP,CAIC,NSanJuan,37.75139,-107.6911,10801,Molas Pass CO US,0
CAABR,CAIC,NSanJuan,37.96333,-107.6472,11841,Mt Abrams,0
CAMON,CAIC,NSanJuan,37.96713,-107.6585,9543,Monument,0
CARIC,CAIC,NSanJuan,37.68626,-108.0381,8931,Rico,0
CAPTY,CSAS,NSanJuan,37.89277,-107.6833,12327,Putney,0
CA42R,CAIC,Steamboat,40.785,-107.0592,9420,Steamboat Lake State Park,0
CASWP,CSAS,NSanJuan,37.90694,-107.7114,11050,Swamp Angel,0
CASBK,CSAS,NSanJuan,37.90688,-107.7263,12186,Senator Beck,0
CATEL,TELLURIDE,NSanJuan,37.91250,-107.8217,11850,PHQ Telluride Ski Resort CO US,0
CADYN,TELLURIDE,NSanJuan,37.90278,-107.8236,12242,Dynamo Telluride Ski Resort CO US,0
CAGDH,TELLURIDE,NSanJuan,37.89874,-107.8227,12550,Gold Hill Telluride Ski Resort CO US,0
CAPBA,TELLURIDE,NSanJuan,37.90556,-107.8325,10950,PBasin Telluride Ski Resort CO US,0
CAVLP,CAIC,Vail/Summit,39.57861,-106.2472,10250,Vail Pass - CDOT Yard CO US,0
CAWCP,CAIC,SSanJuan,37.4764,-106.7850,11800,Wolf Creek Pass CO US,0
CACBP,CAIC,SSanJuan,37.69836,-107.77745,10640,Coal Bank Pass CO US,0
CACB1,CBMR,Gunnison,38.88332,-106.94339,11300,Crested Butte Mtn Resort CO US,2
CABLD,AspenSkiCo,Aspen,39.1574,-106.9662,12704,Snowmass SA Baldy CO US,2
CABRN,AspenSkiCo,Aspen,39.1694,-106.9711,11933,Snowmass SA Big Burn CO US,2
CATLS,AspenSkiCo,Aspen,39.1729,-106.9491,11522,Snowmass SA Timberline CO US,2
CAELK,AspenSkiCo,Aspen,39.1687,-106.9262,11379,Snowmass SA Elk Camp CO US,2
CAALT,AspenSkiCo,Aspen,39.1828,-106.9513,10422,Snowmass SA MidMtn CO US,2
CASMB,AspenSkiCo,Aspen,39.2230,-106.9514,8614,Snowmass SA Base CO US,2
CAALP,AspenSkiCo,Aspen,39.16819,-106.95222,11970,Snowmass SA Alpine CO US,2
CACL9,AspenSkiCo,Aspen,39.1512,-106.8695,10828,Aspen Highlands Cld 9 CO US,2
CALOG,AspenSkiCo,Aspen,39.1426,-106.8736,11625,Aspen Highlands Loge CO US,2
CANWD,AspenSkiCo,Aspen,39.0150,-106.8718,11800,Aspen Highlands NWoods CO US,2
CAHPK,AspenSkiCo,Aspen,39.1292,-106.8769,12392,Aspen Highlands Peak CO US,2
CALXV,ColoMtnCol,Sawatch,39.2350,-106.3050,10025,CMC Leadville CO US,2
CAMTZ,ColoMtnCol,Sawatch,39.3096,-106.2893,11790,CMC Mt Zion CO US,2
CAIRW,IrwinGuide,Gunnison,38.8874,-107.1084,10423,Irwin Guides StudyPlot,0
CASCP,IrwinGuide,Gunnison,38.9026,-107.0977,11985,Irwin Guides RidgeTop,0
CAELT,DanK,Gunnison,38.9697,-107.0400,11147,Elkton,0
CABAR,RMBL,Gunnison,38.960217,-106.991159,9530,Billy Barr House,0
CAJDF,RMBL,Gunnison,38.960652,-106.983551,9758,Judd Falls,0
CAKTP,RMBL,Gunnison,38.939855,-106.971667,9320,Kettle Ponds,0
CASGM,RMBL,Gunnison,38.929493,-106.985507,10933,Snodgrass Mt,0
CAMXC,RMBL,Gunnison,39.025797,-106.060652,10151,Mexican Cut,0
