DataGarrison Station - IMEI: 300534066096200
Time zone: UTC-360 minutes (Daylight Savings not considered in this live file.)
Date_Time	Wind Speed_21491169_mph	Gust Speed_21491169_mph	Wind Direction_21491169_deg	Temperature_MOD_14_0_deg_F	RH_MOD_14_1b_%	Pressure_MOD_14_2_mb	Light_MOD_14_4_lux	
12/21/25 13:02:53	23.106	23.106	228.839	27.266	76.850	636.640	4126620.480
12/21/25 14:00:00	21.798	34.005	228.839	27.968	76.140	636.160	1392889.440
12/21/25 15:00:00	25.722	40.545	238.667	27.140	77.420	636.120	745852.560
12/21/25 16:00:00	26.158	39.673	234.455	27.266	79.440	636.400	1587000.640
12/21/25 17:00:00	24.850	35.749	230.243	26.366	84.190	636.740	172618.200
12/21/25 18:00:00	23.106	35.313	235.859	26.258	85.870	636.980	9563.620
12/21/25 19:00:00	20.926	34.441	242.878	25.250	89.120	637.720	0.000
12/21/25 20:00:00	16.131	33.569	238.667	24.278	91.640	638.160	0.000
12/21/25 21:00:00	9.591	21.362	219.012	24.026	92.730	638.240	0.000
12/21/25 22:00:00	3.488	11.771	174.086	23.972	92.440	638.520	0.000
12/21/25 23:00:00	9.591	24.414	203.569	23.954	92.320	638.560	0.000
12/22/25 00:00:00	17.003	28.774	241.475	23.828	92.530	638.560	0.000
12/22/25 01:00:00	19.183	36.621	233.051	24.080	92.310	638.280	0.000
12/22/25 02:00:00	28.774	41.853	240.071	24.548	90.650	638.200	0.000
12/22/25 03:00:00	25.286	38.365	238.667	24.368	90.620	638.460	0.000
12/22/25 04:00:00	23.106	43.597	242.878	24.422	88.550	638.440	0.000
12/22/25 05:00:00	20.055	31.390	230.243	23.648	89.280	638.480	0.000
12/22/25 06:00:00	16.131	22.670	233.051	23.774	86.230	638.380	0.000
12/22/25 07:00:00	15.695	28.338	233.051	24.746	76.760	638.720	0.000
12/22/25 08:00:00	13.951	18.747	227.435	25.016	72.840	638.980	1326.930
12/22/25 09:00:00	16.131	25.286	228.839	27.194	58.810	639.280	576005.320
12/22/25 10:00:00	18.747	28.338	235.859	27.266	58.030	639.660	1433329.280
12/22/25 11:00:00	18.747	30.518	237.263	27.320	59.050	639.880	2136981.920
12/22/25 12:00:00	20.926	31.390	234.455	27.770	58.590	639.560	2800194.880
12/22/25 13:00:00	21.362	33.569	234.455	29.120	51.740	639.120	1024887.200
12/22/25 14:00:00	22.670	35.749	235.859	30.632	46.280	638.860	944007.600
12/22/25 15:00:00	24.414	36.185	237.263	30.542	48.180	638.680	810556.160
12/22/25 16:00:00	24.414	39.673	238.667	30.398	47.290	639.060	3883981.760
12/22/25 17:00:00	20.490	34.877	234.455	29.696	46.870	639.220	3188417.280
12/22/25 18:00:00	21.798	31.826	237.263	27.698	47.700	639.260	17683.170
12/22/25 19:00:00	17.439	29.210	240.071	26.366	50.720	639.580	0.000
12/22/25 20:00:00	13.951	23.978	238.667	26.258	50.070	639.780	0.000
12/22/25 21:00:00	13.951	23.106	244.282	26.690	43.700	639.780	0.000
12/22/25 22:00:00	13.079	20.926	230.243	26.168	44.250	639.580	0.000
12/22/25 23:00:00	13.951	22.234	217.608	25.754	45.030	639.760	0.000
12/23/25 00:00:00	14.387	25.286	227.435	26.060	44.850	639.940	0.000
12/23/25 01:00:00	10.027	15.695	224.627	24.386	48.130	639.860	0.000
12/23/25 02:00:00	9.591	12.643	227.435	24.116	49.150	639.620	0.000
12/23/25 03:00:00	12.207	17.875	226.031	24.584	46.240	639.640	0.000
12/23/25 04:00:00	8.719	13.515	223.224	23.558	47.310	639.700	0.000
12/23/25 05:00:00	9.155	13.079	193.741	23.846	44.670	639.460	0.000
12/23/25 06:00:00	11.771	17.003	192.337	25.304	39.890	639.280	0.000
12/23/25 07:00:00	12.207	18.311	204.973	26.186	34.510	639.640	0.000
12/23/25 08:00:00	10.899	15.259	219.012	26.204	33.850	639.980	789.840
12/23/25 09:00:00	11.771	15.259	219.012	27.626	31.080	640.160	600269.200
12/23/25 10:00:00	10.899	14.823	211.992	28.130	31.390	640.500	612401.120
12/23/25 11:00:00	10.899	17.875	197.953	28.292	30.590	640.420	1045107.120
12/23/25 12:00:00	10.027	17.439	211.992	28.868	31.790	640.300	1037019.120
12/23/25 13:00:00	9.155	16.131	204.973	30.218	31.860	639.980	1198778.400
12/23/25 14:00:00	9.591	15.259	202.165	31.802	28.780	639.540	1376713.440
12/23/25 15:00:00	10.463	17.003	202.165	33.224	27.470	639.240	1020843.200
12/23/25 16:00:00	12.643	20.490	192.337	33.458	29.130	639.080	4126620.480
12/23/25 17:00:00	13.515	18.311	189.529	31.730	28.790	639.040	1109810.800
12/23/25 18:00:00	17.875	24.850	196.549	29.804	34.630	638.900	7983.940
12/23/25 19:00:00	20.055	29.210	196.549	29.804	33.790	638.980	0.000
12/23/25 20:00:00	18.311	26.158	204.973	28.616	35.680	638.980	0.000
12/23/25 21:00:00	17.003	25.286	211.992	27.752	41.570	639.140	0.000
12/23/25 22:00:00	15.695	26.158	228.839	28.238	41.470	639.140	0.000
12/23/25 23:00:00	20.490	31.390	226.031	28.220	48.650	638.980	0.000
12/24/25 00:00:00	22.234	33.134	230.243	28.076	52.560	639.200	0.000
12/24/25 01:00:00	21.798	32.262	231.647	28.292	55.200	639.100	0.000
12/24/25 02:00:00	22.670	30.954	221.820	27.356	56.270	638.580	0.000
12/24/25 03:00:00	17.439	31.390	209.184	26.870	55.150	639.120	0.000
12/24/25 04:00:00	15.695	27.030	231.647	27.248	54.950	639.500	0.000
12/24/25 05:00:00	17.875	32.698	234.455	26.942	59.400	639.240	0.000
12/24/25 06:00:00	17.003	27.030	234.455	26.672	62.580	639.260	0.000
12/24/25 07:00:00	19.619	27.030	234.455	26.330	66.150	639.680	0.000
12/24/25 08:00:00	19.183	29.210	240.071	26.456	71.660	640.060	183.630
12/24/25 09:00:00	18.747	28.774	227.435	25.772	83.340	640.160	150376.300
12/24/25 10:00:00	21.362	32.698	227.435	26.438	89.590	640.520	341454.400
12/24/25 11:00:00	19.183	29.210	223.224	27.446	90.780	640.820	697324.720
12/24/25 12:00:00	19.619	34.877	231.647	29.642	84.550	640.220	1716407.840
12/24/25 13:00:00	20.055	34.005	240.071	30.758	79.490	639.900	964227.440
12/24/25 14:00:00	14.823	26.594	217.608	32.594	75.000	639.440	931875.600
12/24/25 15:00:00	16.131	25.722	214.800	30.920	78.560	639.560	1093634.880
12/24/25 16:00:00	12.207	21.798	207.780	32.144	77.300	639.840	3625166.720
12/24/25 17:00:00	10.899	16.131	202.165	31.730	76.030	639.740	1886255.200
12/24/25 18:00:00	14.387	23.542	192.337	30.218	76.810	639.440	13070.500
12/24/25 19:00:00	16.567	24.414	176.894	29.426	79.200	639.360	0.000
12/24/25 20:00:00	17.875	31.390	186.722	28.814	84.360	638.860	0.000
12/24/25 21:00:00	21.362	31.390	172.682	27.500	84.440	639.300	0.000
12/24/25 22:00:00	19.619	29.646	172.682	27.122	87.800	639.000	0.000
12/24/25 23:00:00	23.106	37.929	196.549	26.384	91.500	638.740	0.000
12/25/25 00:00:00	18.311	33.134	193.741	26.456	92.240	638.880	0.000
12/25/25 01:00:00	20.055	27.466	171.278	27.302	92.690	638.380	0.000
12/25/25 02:00:00	17.003	26.594	168.471	27.392	92.430	638.140	0.000
12/25/25 03:00:00	14.387	28.338	193.741	27.734	92.520	638.140	0.000
12/25/25 04:00:00	14.823	21.362	182.510	27.302	92.560	637.960	0.000
12/25/25 05:00:00	19.619	32.698	209.184	27.428	92.660	637.440	0.000
12/25/25 06:00:00	17.439	31.390	230.243	26.816	92.620	637.140	0.000
12/25/25 07:00:00	17.003	23.542	231.647	27.140	92.740	636.920	0.000
12/25/25 08:00:00	15.695	23.106	224.627	26.942	92.790	636.660	272.490
12/25/25 09:00:00	13.079	19.183	220.416	27.140	92.820	636.640	136222.360
12/25/25 10:00:00	17.003	27.466	219.012	27.644	92.980	636.480	398070.160
12/25/25 11:00:00	21.798	34.005	210.588	32.000	92.920	636.300	406158.080
12/25/25 12:00:00	23.978	40.109	210.588	27.014	92.890	636.520	745852.560
12/25/25 13:00:00	22.670	35.749	226.031	27.140	92.930	635.560	1150250.640
12/25/25 14:00:00	16.131	27.466	233.051	26.060	92.950	635.600	485015.720
12/25/25 15:00:00	23.106	42.725	233.051	24.386	92.990	635.500	1692144.160
12/25/25 16:00:00	18.747	37.929	238.667	23.144	93.310	635.940	624533.080
12/25/25 17:00:00	16.131	28.774	240.071	21.794	93.660	635.720	236310.900
12/25/25 18:00:00	18.747	30.954	237.263	21.398	93.780	635.660	9437.240
12/25/25 19:00:00	20.926	33.569	228.839	21.146	93.810	635.500	0.000
12/25/25 20:00:00	27.030	42.725	230.243	20.786	93.820	635.400	0.000
12/25/25 21:00:00	22.670	41.417	231.647	20.876	93.890	635.540	0.000
12/25/25 22:00:00	24.850	42.289	231.647	20.966	93.880	635.640	0.000
12/25/25 23:00:00	27.466	44.469	227.435	21.074	93.900	635.320	0.000
12/26/25 00:00:00	28.338	43.597	224.627	20.714	93.880	635.100	0.000
12/26/25 01:00:00	30.082	45.341	224.627	20.156	93.860	634.620	0.000
12/26/25 02:00:00	31.826	49.264	228.839	18.842	93.610	634.000	0.000
12/26/25 03:00:00	27.030	42.725	228.839	18.302	93.600	634.820	0.000
12/26/25 04:00:00	25.722	37.929	231.647	17.834	93.490	634.940	0.000
12/26/25 05:00:00	24.850	37.929	231.647	17.240	93.000	634.500	0.000
12/26/25 06:00:00	24.850	36.185	234.455	16.826	92.950	634.680	0.000
12/26/25 07:00:00	21.362	32.262	237.263	16.178	92.470	635.180	0.000
12/26/25 08:00:00	20.926	30.518	231.647	15.746	88.340	634.920	730.600
12/26/25 09:00:00	18.311	27.030	237.263	15.746	84.190	634.860	628577.040
12/26/25 10:00:00	16.131	27.030	237.263	16.538	72.640	634.800	1312009.840
12/26/25 11:00:00	17.875	30.954	228.839	17.762	63.140	634.800	2622259.680
12/26/25 12:00:00	20.055	29.210	228.839	19.526	57.820	634.240	3220768.640
12/26/25 13:00:00	23.542	34.005	223.224	19.580	56.650	633.760	1360537.600
12/26/25 14:00:00	20.926	30.518	228.839	20.030	63.790	633.200	1045107.120
12/26/25 15:00:00	18.747	32.262	227.435	19.454	73.830	632.740	1032975.120
12/26/25 16:00:00	17.003	24.414	228.839	19.148	80.810	632.220	753940.400
12/26/25 17:00:00	18.747	30.082	231.647	19.076	83.210	632.240	211036.020
12/26/25 18:00:00	22.670	31.826	234.455	18.968	85.680	631.860	6183.100
12/26/25 19:00:00	28.338	40.545	234.455	19.328	86.710	631.560	0.000
12/26/25 20:00:00	29.210	41.417	235.859	19.040	89.440	631.780	0.000
12/26/25 21:00:00	28.338	42.725	231.647	19.274	88.250	631.160	0.000
12/26/25 22:00:00	30.082	45.777	224.627	19.148	88.960	631.000	0.000
12/26/25 23:00:00	34.005	51.008	226.031	19.040	89.750	630.560	0.000
12/27/25 00:00:00	35.313	51.008	233.051	20.048	87.840	629.960	0.000
12/27/25 01:00:00	31.390	45.777	224.627	19.850	86.700	629.540	0.000
12/27/25 02:00:00	31.390	46.213	226.031	19.706	85.280	628.920	0.000
12/27/25 03:00:00	36.621	62.343	231.647	19.796	85.520	628.420	0.000
12/27/25 04:00:00	39.237	59.292	227.435	20.030	84.460	628.080	0.000
12/27/25 05:00:00	37.493	56.240	230.243	19.652	84.050	627.800	0.000
12/27/25 06:00:00	36.185	57.548	230.243	18.968	83.160	627.100	0.000
12/27/25 07:00:00	37.493	59.728	230.243	18.266	78.300	627.340	0.000
12/27/25 08:00:00	39.673	58.856	228.839	17.168	72.950	627.600	157.960
12/27/25 09:00:00	32.698	52.752	228.839	16.142	75.370	627.940	159475.260
12/27/25 10:00:00	30.082	54.060	227.435	16.646	58.850	628.100	596225.200
12/27/25 11:00:00	29.646	46.213	228.839	16.970	59.530	628.200	903567.760
12/27/25 12:00:00	25.286	39.673	223.224	17.996	65.150	627.320	1506120.800
12/27/25 13:00:00	28.338	44.033	228.839	18.410	72.770	626.580	1053195.040
12/27/25 14:00:00	27.902	44.033	227.435	17.240	79.570	626.300	685192.800
12/27/25 15:00:00	24.850	40.545	226.031	16.106	91.580	626.140	559829.360
12/27/25 16:00:00	26.594	43.597	227.435	16.394	92.110	625.980	511301.600
12/27/25 17:00:00	21.798	33.569	226.031	15.620	92.030	625.980	259563.780
12/27/25 18:00:00	19.619	31.826	219.012	15.548	92.270	626.000	5993.540
12/27/25 19:00:00	16.567	24.850	224.627	15.458	92.300	626.260	0.000
12/27/25 20:00:00	15.259	23.978	226.031	15.080	92.280	626.060	0.000
12/27/25 21:00:00	17.439	28.338	234.455	12.794	91.730	626.180	0.000
12/27/25 22:00:00	13.515	25.286	238.667	11.498	91.450	626.360	0.000
12/27/25 23:00:00	15.259	27.030	231.647	10.778	91.300	626.440	0.000
12/28/25 00:00:00	12.643	27.466	234.455	10.202	91.120	625.940	0.000
