PARKRANGE   40.7270 -106.6718
CAMERONPCO  40.5100 -105.8900
ELDORA      39.9490 -105.5630
BERTHPASS   39.7985 -105.7775
LVLNDPASS   39.6637 -105.8788
VAIL_PASS   39.5310 -106.2170
INDEPPASS   39.1085 -106.5876
R_MCLURE    39.1267 -107.2853
SCHOFIELD   39.0149 -107.0469
GRAND_MESA  39.0500 -108.0800
RMP         37.8990 -107.7110
WOLFCKPASS  37.4827 -106.8021
SANGRERNGE  38.1920 -105.7220
MONARCHPAS  38.4970 -106.3250
COTNWDPASS  38.8280 -106.4090
BATTLEMTN   39.5517 -106.3933
GLENWDCAN   39.5894 -107.2089
DOUGLASPAS  39.5973 -108.8112
SLUMGULPAS  37.9899 -107.2500
LIZHEADPAS  37.8111 -107.9084
TUNNELS     39.6800 -105.9200
FREMONTPAS  39.3678 -106.1880
TWINLAKES   39.0683 -106.5058
CUMBRESPAS  37.0213 -106.4466
FARWELL     40.8324 -106.8526
MTWERNER    40.4561 -106.7399
MOSQLAKES   39.9944 -107.1520
CHAIRMT     39.0580 -107.2821
REDTABLEMT  39.4181 -106.7711
HIGHLANDPK  39.1286 -106.8771
WESTELKPK   38.7181 -107.1993
FAIRVIEWPK  38.6833 -106.5367
SKYWAYPT    39.0457 -108.0669
BUSHNELLPK  38.3414 -105.8894
RITOALTOPK  38.1028 -105.6616
BLANCAPK    37.5772 -105.4858
SPRUCEMT    39.1972 -107.5224
HORSEMT     39.0800 -107.9332
BEARLAKE    40.3132 -105.6483
COALBANKPS  37.7036 -107.7680
PARKCONE    38.8167 -106.5833
FRIENDSHUT  38.9639 -106.8111
COLUMBUSBA  37.4400 -108.0200
MTABRAMS    37.9609 -107.6412
ZONE100     40.5445 -106.6855
ZONE101     40.5206 -105.8925
ZONE102     40.3158 -105.6735
ZONE103     39.8360 -106.4182
ZONE104     39.7982 -105.7774
ZONE105     39.6727 -105.8930
ZONE106     39.5300 -106.2160
ZONE107     38.8772 -105.0653
ZONE108     39.7652 -107.3554
ZONE109     39.1085 -106.5642
ZONE110     39.0716 -106.8413
ZONE111     39.0150 -107.0471
ZONE112     39.1292 -107.2840
ZONE113     39.0429 -108.0669
ZONE114     38.4961 -106.3260
ZONE115     37.9915 -107.2045
ZONE116     37.8967 -107.7133
ZONE117     37.6991 -107.7776
ZONE118     37.8116 -107.9075
ZONE119     37.4831 -106.8023
ZONE120     37.9666 -105.5428
VNARROWS    39.5791 -106.2476
TENMILEPK   39.5363 -106.1216
WHISTLER    39.6824 -105.9422
SISTERS     39.6767 -105.8898
BETHEL      39.7066 -105.8757
STANLEY     39.7836 -105.8071
80S         39.8070 -105.7752
300S        39.8413 -105.7582
SDIAMOND    40.5119 -105.9041
LONETREEBL  39.1075 -107.2818
CLIFFS      39.0522 -108.0602
GWCSOUTH    39.5874 -107.1856
GWCNORTH    39.5783 -107.2355
BLUECANYON  38.4132 -107.4104
INDYPASSW   39.1229 -106.5876
CRESTBOWL   38.4940 -106.3297
BIGSLIDE    38.5216 -106.3272
SWITCHBACK  39.5527 -106.3921
BUCKEYE     39.3354 -106.2367
MTZION      39.3104 -106.2759
YCHUTES     39.4924 -106.1157
STARMTN     39.0616 -106.5333
ENGINEERS   37.7030 -107.7792
LIMECREEK   37.7316 -107.7738
CHAMPIONPT  37.7921 -107.6881
MILLCREEK   37.8776 -107.7654
BLUEPOINT   37.9099 -107.7072
TRICOPEAK   37.9053 -107.7370
MOTHERCLIN  37.9821 -107.6516
PETERSON    37.7224 -108.0406
SNOWSPUR    37.8011 -107.9284
WHITELIZ    37.8173 -107.9012
OPHIRROAD   37.8579 -107.8810
BCDOUGLASP  39.5975 -108.8032
BCBISONLAK  39.7652 -107.3554
BCRIPPLECR  40.1119 -107.2956
BCBUFFPASS  40.5445 -106.6855
BCSTEAMBOA  40.4554 -106.7882
BCMOUNTZIR  40.8246 -106.6590
BCSANDMOUN  40.7544 -107.0467
BCMTWERNER  40.4561 -106.7403
BCRABBITEA  40.3847 -106.6117
BCMEDICINE  40.7515 -106.0148
BCSOUTHDIA  40.5160 -105.9004
BCPARKVIEW  40.3307 -106.1244
BCFLATTOP   40.3144 -105.6679
BCARAPAHOL  39.9074 -105.6840
BCBERTHOUD  39.7982 -105.7774
BCLOVELAND  39.6639 -105.8789
BCELLIOTRI  39.8357 -106.4182
BCSHRINEMO  39.5352 -106.2595
BCPITKINLA  39.6941 -106.2886
BCVAIL8K    39.6435 -106.3780
BCGROUSEMO  39.5304 -106.5056
BCBRECKENR  39.4966 -106.1022
BCMOUNTTHO  39.4248 -106.7380
BCMOUNTNAS  39.2581 -106.6122
BCFREMONTP  39.3677 -106.1962
BCUNCLEBUD  39.3117 -106.4057
BCGORDONGU  39.0885 -106.4109
BCHOOSIERP  39.3691 -106.0976
BCWESTONPA  39.1312 -106.1820
BCPIKESPEA  38.8772 -105.0653
BCINDEPEND  39.1085 -106.5642
BCCOTTONWO  38.8279 -106.4092
BCTINCUPPA  38.7092 -106.4344
BCMONARCHP  38.4961 -106.3260
BCASPEN8K   39.1911 -106.8299
BCCATHEDRA  39.0280 -106.8429
BCHIGHLAND  39.1308 -106.8809
BCHUNTSMAN  39.1918 -107.3669
BCCRESTEDB  38.8694 -106.9926
BCCINNAMON  38.9990 -107.0682
BCRASPBERR  39.0316 -107.2131
BCWESTELK   38.7181 -107.1877
BCMATCHLES  38.8339 -106.6449
BCFRIENDSH  38.9639 -106.8111
BCANTHRACI  38.8163 -107.1551
BCISLANDLA  39.0353 -108.0042
BCWINDYPOI  38.4580 -108.5380
BCTELLURID  37.9349 -107.8162
BCWILSONPE  37.8701 -107.9747
BCPALMYRAP  37.8899 -107.8290
BCOURAY8K   38.0175 -107.6779
BCYANKEEBO  37.9875 -107.7811
BCUNCOMPAH  38.0666 -107.4375
BCSLUMGULL  37.9915 -107.2045
BCSUNSHINE  37.9209 -107.3979
BCLAGARITA  37.9252 -106.8361
BCRICO9K    37.6900 -108.0289
BCEXPECTAT  37.6942 -108.0684
BCOPHIRPAS  37.8506 -107.7795
BCWESTRIVE  37.9789 -107.6758
BCTRICOPEA  37.8985 -107.7232
BCSILVERTO  37.8131 -107.6703
BCEUREKAMO  37.8899 -107.5860
BCSULTANCR  37.7666 -107.7043
BCENGINEER  37.7008 -107.8011
BCCHICAGOB  37.6168 -107.6051
BCRIOGRAND  37.6789 -107.3594
BCPURGATOR  37.6291 -107.8159
BCCOLUMBUS  37.4316 -108.0231
BCENDLICHM  37.5041 -107.6022
BCWOLFCREE  37.4831 -106.8023
BCCUMBRES   37.0206 -106.4500
BCSOUTHCOL  37.9667 -105.5681
BCBLANCAPE  37.5837 -105.4837
